region,household_income,servings_per_day
North,59797.0,1.3
West,44134.0,3.6
East,50462.0,5.1
South,70591.0,1.5
South,50725.0,4.2
West,63850.0,2.8
North,43797.0,3.1
East,52535.0,2.0
North,43600.0,2.8
North,50932.0,4.6
East,65084.0,3.8
West,34272.0,5.1
East,60213.0,4.5
West,57853.0,3.7
East,47870.0,5.1
West,37647.0,3.7
East,55866.0,4.1
North,48646.0,2.9
West,57792.0,3.3
South,55262.0,2.4
East,74221.0,4.3
South,52128.0,1.9
North,42718.0,4.1
West,57151.0,3.0
West,57640.0,4.5
East,71310.0,4.0
South,65021.0,5.2
West,59282.0,4.0
East,72560.0,1.5
South,40735.0,3.1
South,47323.0,1.9
North,43881.0,2.6
North,50322.0,4.9
East,38480.0,3.9
West,62622.0,2.4
North,52333.0,2.1
West,37350.0,3.2
West,42813.0,1.9
South,58762.0,2.5
East,65058.0,3.5
North,78961.0,4.5
West,89966.0,3.9
East,59973.0,0.7
South,43126.0,3.5
North,29415.0,3.3
West,58213.0,3.7
South,45245.0,5.0
West,50016.0,0.9
East,47655.0,2.5
West,53311.0,3.8
West,67792.0,1.5
North,56885.0,4.8
South,53096.0,3.6
South,42572.0,4.1
South,34904.0,2.6
North,49164.0,4.1
East,54355.0,4.4
North,76215.0,3.5
East,56563.0,3.5
East,66793.0,3.5
West,49008.0,2.3
East,40781.0,3.0
South,43419.0,3.0
West,46297.0,3.6
South,80542.0,4.3
South,45143.0,2.0
West,65062.0,3.1
South,44165.0,4.8
North,66179.0,2.4
South,59619.0,2.3
West,53120.0,3.4
North,54511.0,4.1
South,47143.0,3.2
North,60353.0,4.7
East,49540.0,4.1
South,40293.0,4.1
South,39665.0,3.8
North,57071.0,5.8
East,73949.0,3.0
East,56920.0,1.0
West,53576.0,5.0
South,58430.0,2.7
North,70672.0,3.3
West,57633.0,4.6
East,50069.0,1.4
East,68275.0,1.8
North,60145.0,1.4
South,73429.0,2.3
West,57199.0,3.7
West,40306.0,3.8
South,38582.0,3.5
West,74811.0,1.6
West,75684.0,0.7
South,52846.0,3.3
West,50402.0,2.7
South,72537.0,3.7
North,41715.0,4.0
East,44263.0,3.4
East,62720.0,4.0
North,50265.0,3.5
West,54939.0,3.8
North,53039.0,2.4
West,59051.0,3.0
North,71890.0,3.4
West,56087.0,4.1
West,62727.0,2.8
West,30398.0,3.8
East,54415.0,2.9
South,44881.0,3.1
East,40374.0,4.1
South,44462.0,1.0
West,50991.0,1.8
East,65991.0,1.6
South,39083.0,0.6
East,55368.0,2.5
East,49190.0,4.0
North,51068.0,2.9
North,67033.0,3.4
North,61457.0,4.4
North,71049.0,4.7
South,53146.0,3.1
East,46649.0,4.7
East,52314.0,3.3
South,57910.0,2.3
West,57119.0,2.5
East,41987.0,1.6
North,56086.0,2.2
West,57739.0,2.8
East,85210.0,4.1
East,77522.0,5.1
East,44761.0,1.7
East,51551.0,3.6
North,37439.0,2.1
East,47912.0,3.7
West,58787.0,3.1
South,69470.0,1.2
East,46251.0,4.2
North,47150.0,2.5
South,29233.0,2.6
South,53048.0,2.0
West,42251.0,2.5
North,48647.0,3.7
South,44478.0,3.0
South,53869.0,3.6
West,33907.0,3.6
West,37395.0,4.7
North,80551.0,2.8
North,39551.0,1.6
West,41839.0,4.4
North,77043.0,2.8
West,89861.0,4.4
South,40941.0,3.6
West,50581.0,3.1
South,59099.0,3.6
South,75744.0,5.3
East,43158.0,5.5
North,52057.0,3.3
East,64328.0,3.4
East,60217.0,4.4
West,50486.0,2.3
West,53394.0,3.6
East,38501.0,3.2
South,52142.0,3.5
South,51803.0,2.3
South,57786.0,1.5
West,48336.0,0.9
South,60658.0,2.0
North,67153.0,2.7
South,56865.0,2.9
North,59221.0,5.3
North,55638.0,4.4
North,55001.0,2.1
West,46341.0,3.6
East,58798.0,2.8
East,53833.0,2.9
South,80118.0,3.4
East,73880.0,3.9
North,59630.0,2.8
West,45843.0,4.4
East,41651.0,1.9
West,69294.0,3.2
North,58153.0,6.1
South,60762.0,3.4
East,34065.0,4.8
South,66129.0,3.3
South,60453.0,3.8
North,41675.0,3.1
South,49342.0,3.0
North,58165.0,2.3
South,55630.0,3.7
East,51494.0,2.3
East,53758.0,3.9
East,51976.0,4.4
South,56831.0,3.6
West,72658.0,2.9
North,24200.0,3.7
South,52158.0,2.9
North,57118.0,4.2
South,58552.0,1.2
West,50537.0,2.8
